City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
120,vetluzhskiy,RU,78.42,58.39,45.47,clear sky,Sharya
124,borda da mata,BR,66.99,-22.27,-46.17,scattered clouds,HOTEL SANDIEGO - BORDA DA MATA - MG
125,emerald,AU,60.8,-23.53,148.17,clear sky,The Irish Village
127,isabela,PH,80.19,6.71,121.97,broken clouds,Isawad Resort
128,makasar,ID,78.8,-5.14,119.42,scattered clouds,Aryaduta Makassar
129,tual,ID,78.51,-5.67,132.75,overcast clouds,Grand Vilia Hotel
130,cururupu,BR,84.31,-1.83,-44.87,clear sky,Pousada Través'cia
131,aloja,LV,73.99,57.77,24.88,overcast clouds,Mieriņš
133,uige,AO,90.99,-7.61,15.06,scattered clouds,Juliao Pereira
137,sao filipe,CV,76.51,14.9,-24.5,broken clouds,Tortuga B&B
140,laguna,US,60.01,38.42,-121.42,clear sky,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
141,hisor,TJ,96.8,38.52,68.55,few clouds,Gostinitsa Usto Nabot
142,berlevag,NO,71.6,70.86,29.09,clear sky,Kvitbrakka
143,zonguldak,TR,80.6,41.25,31.83,scattered clouds,Süleyman Tez Ev
144,tarboro,US,80.6,35.9,-77.54,clear sky,SureStay Plus Hotel Tarboro by Best Western
145,cuautepec,MX,74.03,16.7,-99.0,overcast clouds,
146,cullman,US,75.0,34.17,-86.84,scattered clouds,Days Inn by Wyndham Cullman
147,kruisfontein,ZA,72.0,-34.0,24.73,clear sky,Oyster Bay House Rental
148,padang,ID,73.4,-0.95,100.35,scattered clouds,Mercure Padang
150,bayburt,TR,79.43,40.26,40.23,broken clouds,Bayburt Otel Konaklama
151,klyuchi,RU,75.72,52.27,79.17,overcast clouds,Vesolaya Mayovka
156,adrar,MR,104.16,20.5,-10.07,scattered clouds,
158,port elizabeth,ZA,71.6,-33.92,25.57,clear sky,39 On Nile Guest House
159,bethel,US,80.6,41.37,-73.41,clear sky,Courtyard by Marriott Danbury
160,utevka,RU,78.67,52.9,50.95,broken clouds,
161,deori khas,IN,90.63,23.4,79.02,overcast clouds,UMA TAE CENTER
162,san jose,US,62.01,37.34,-121.89,overcast clouds,The Westin San Jose
164,grand forks,US,63.0,47.93,-97.03,few clouds,TownHouse Hotel - Grand Forks
165,kibala,TD,75.2,9.11,18.35,few clouds,
166,turtas,RU,61.07,58.94,69.13,overcast clouds,Domashnyaya Gostinitsa
167,oranjestad,AW,84.2,12.52,-70.03,few clouds,Divi Village Golf & Beach Resort
168,pasighat,IN,82.0,28.07,95.33,overcast clouds,Siang Guest House
173,kavieng,PG,83.3,-2.57,150.8,scattered clouds,Nusa Island Retreat
176,margate,GB,66.99,51.38,1.39,scattered clouds,Premier Inn Margate hotel
177,metro,ID,75.83,-5.11,105.31,few clouds,OYO 3177 Wisma Lintang
181,tiarei,PF,77.0,-17.53,-149.33,scattered clouds,Le Rocher de Tahiti
183,kadoma,JP,79.0,34.73,135.58,broken clouds,Hotel Agora Osaka Moriguchi
184,menongue,AO,81.68,-14.66,17.69,clear sky,Ritz Lauca
186,nouadhibou,MR,80.6,20.93,-17.03,clear sky,El Medina
188,roma,US,73.4,43.21,-75.46,broken clouds,Wingate By Wyndham Rome
189,bereda,ES,73.0,43.27,-7.54,scattered clouds,Pazo de Verdes
191,mayya,RU,66.2,61.73,130.28,broken clouds,
192,mehran,IR,105.8,33.12,46.16,scattered clouds,بوتیک زنانه بهار
193,liezen,AT,89.01,47.57,14.23,few clouds,Vermietung DANIS
196,san cristobal,VE,78.8,7.77,-72.22,few clouds,Pirineos
197,pringsewu,ID,74.52,-5.36,104.97,scattered clouds,Urban Style by Front One
199,rafraf,TN,96.8,37.19,10.18,clear sky,Les Jardins de la Mer Ghar el Melh
200,pak phanang,TH,78.8,8.35,100.2,light rain,Green Park Inn Hotel
201,diffa,NE,95.61,13.32,12.61,broken clouds,ProDAF/Diffa
202,ashtian,IR,91.44,34.52,50.0,broken clouds,Jamiatul Mustafa Al Aalamia Ashtiyan
206,orlik,RU,64.74,52.52,99.83,overcast clouds,Oka
207,sao joao da barra,BR,75.2,-21.64,-41.05,clear sky,Pousada Porto De Canoas
208,mega,ET,67.19,4.05,38.3,overcast clouds,Amanuel Guest House
209,beloha,MG,71.8,-25.17,45.05,scattered clouds,
