City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Shingu,JP,2020-07-28 04:58:59,33.73,135.98,82.4,88,75,6.93
136,Provideniya,RU,2020-07-28 04:58:59,64.38,-173.3,53.6,81,75,8.95
137,Bambous Virieux,MU,2020-07-28 04:58:59,-20.34,57.76,72.0,88,40,3.36
138,Palmer,US,2020-07-28 04:56:55,42.16,-72.33,80.6,65,75,4.63
139,Henties Bay,NA,2020-07-28 04:59:00,-22.12,14.28,55.99,91,0,6.2
140,Casas Grandes,MX,2020-07-28 04:59:01,30.37,-107.95,73.99,63,50,1.01
141,Lexington,US,2020-07-28 04:55:01,37.99,-84.48,75.99,94,20,4.7
142,Saint-Augustin,CA,2020-07-28 04:59:02,51.23,-58.65,57.0,92,100,3.31
143,Longyearbyen,SJ,2020-07-28 04:59:02,78.22,15.64,64.4,48,99,9.17
144,Nikolskoye,RU,2020-07-28 04:59:02,59.7,30.79,69.01,68,75,4.47
145,Saskylakh,RU,2020-07-28 04:59:02,71.92,114.08,59.4,50,41,9.4
146,Broome,US,2020-07-28 04:59:03,42.25,-75.83,73.99,83,40,5.82
147,Kirakira,SB,2020-07-28 04:59:03,-10.45,161.92,84.15,75,83,9.1
148,Bacolod,PH,2020-07-28 04:54:52,10.67,122.95,82.33,81,95,4.99
149,Barcelos,PT,2020-07-28 04:59:03,41.54,-8.62,66.99,100,90,2.68
150,Progreso,MX,2020-07-28 04:59:04,21.28,-89.67,82.0,78,20,8.05
151,Simbahan,PH,2020-07-28 04:59:04,6.3,120.58,83.79,69,33,3.38
152,Burnie,AU,2020-07-28 04:59:04,-41.07,145.92,54.66,53,0,4.21
153,Pisco,PE,2020-07-28 04:59:04,-13.7,-76.22,57.2,82,40,3.36
154,Lagoa,PT,2020-07-28 04:59:04,39.05,-27.98,72.64,89,0,5.44
155,Evensk,RU,2020-07-28 04:59:05,61.95,159.23,54.54,85,92,8.23
156,Sao Gabriel Da Cachoeira,BR,2020-07-28 04:59:05,-0.13,-67.09,71.89,96,55,0.78
157,Iskateley,RU,2020-07-28 04:59:05,67.68,53.15,59.92,58,100,9.22
158,Mar Del Plata,AR,2020-07-28 04:59:05,-38.0,-57.56,41.0,93,20,6.93
159,Codrington,AU,2020-07-28 04:59:05,-38.27,141.97,55.58,71,68,4.5
160,Coxim,BR,2020-07-28 04:59:06,-18.51,-54.76,67.35,41,32,3.22
161,Zeya,RU,2020-07-28 04:59:06,53.75,127.27,89.78,38,15,6.08
